CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25584,E01006484,Knowsley 011D,Lower Super Output Areas and Data Zones,LSOADZ,386,
25585,E01006485,Knowsley 014B,Lower Super Output Areas and Data Zones,LSOADZ,328,
25586,E01006486,Knowsley 014C,Lower Super Output Areas and Data Zones,LSOADZ,238,
25587,E01006487,Knowsley 014D,Lower Super Output Areas and Data Zones,LSOADZ,339,
25588,E01006488,Knowsley 014E,Lower Super Output Areas and Data Zones,LSOADZ,385,
25589,E01006489,Knowsley 014F,Lower Super Output Areas and Data Zones,LSOADZ,304,
25590,E01006490,Knowsley 002E,Lower Super Output Areas and Data Zones,LSOADZ,334,
25591,E01006491,Knowsley 002F,Lower Super Output Areas and Data Zones,LSOADZ,287,
25592,E01006492,Knowsley 001B,Lower Super Output Areas and Data Zones,LSOADZ,383,
25593,E01006493,Knowsley 001C,Lower Super Output Areas and Data Zones,LSOADZ,402,
25594,E01006494,Knowsley 001D,Lower Super Output Areas and Data Zones,LSOADZ,495,
25595,E01006495,Knowsley 001E,Lower Super Output Areas and Data Zones,LSOADZ,494,
25596,E01006496,Knowsley 009C,Lower Super Output Areas and Data Zones,LSOADZ,391,
25597,E01006497,Knowsley 013A,Lower Super Output Areas and Data Zones,LSOADZ,300,
25598,E01006498,Knowsley 009D,Lower Super Output Areas and Data Zones,LSOADZ,219,
25599,E01006499,Knowsley 009E,Lower Super Output Areas and Data Zones,LSOADZ,303,
25600,E01006500,Knowsley 013B,Lower Super Output Areas and Data Zones,LSOADZ,379,
25601,E01006501,Knowsley 013C,Lower Super Output Areas and Data Zones,LSOADZ,251,
25602,E01006502,Knowsley 017C,Lower Super Output Areas and Data Zones,LSOADZ,465,
25603,E01006503,Knowsley 017D,Lower Super Output Areas and Data Zones,LSOADZ,275,
25604,E01006504,Knowsley 013D,Lower Super Output Areas and Data Zones,LSOADZ,369,
25605,E01006505,Knowsley 013E,Lower Super Output Areas and Data Zones,LSOADZ,514,
25606,E01006506,Knowsley 004B,Lower Super Output Areas and Data Zones,LSOADZ,260,
25607,E01006507,Knowsley 004C,Lower Super Output Areas and Data Zones,LSOADZ,491,
25608,E01006508,Knowsley 004D,Lower Super Output Areas and Data Zones,LSOADZ,343,
25609,E01006509,Knowsley 004E,Lower Super Output Areas and Data Zones,LSOADZ,518,
25610,E01006510,Knowsley 004F,Lower Super Output Areas and Data Zones,LSOADZ,311,
25611,E01006512,Liverpool 031A,Lower Super Output Areas and Data Zones,LSOADZ,171,
25612,E01006513,Liverpool 060A,Lower Super Output Areas and Data Zones,LSOADZ,154,
25613,E01006514,Liverpool 037A,Lower Super Output Areas and Data Zones,LSOADZ,192,
25614,E01006515,Liverpool 037B,Lower Super Output Areas and Data Zones,LSOADZ,381,
25615,E01006518,Liverpool 044A,Lower Super Output Areas and Data Zones,LSOADZ,668,
25616,E01006519,Liverpool 056A,Lower Super Output Areas and Data Zones,LSOADZ,154,
25617,E01006520,Liverpool 043A,Lower Super Output Areas and Data Zones,LSOADZ,251,
25618,E01006521,Liverpool 052A,Lower Super Output Areas and Data Zones,LSOADZ,301,
25619,E01006522,Liverpool 048A,Lower Super Output Areas and Data Zones,LSOADZ,238,
25620,E01006523,Liverpool 052B,Lower Super Output Areas and Data Zones,LSOADZ,254,
25621,E01006524,Liverpool 048B,Lower Super Output Areas and Data Zones,LSOADZ,303,
25622,E01006525,Liverpool 049A,Lower Super Output Areas and Data Zones,LSOADZ,149,
25623,E01006526,Liverpool 048C,Lower Super Output Areas and Data Zones,LSOADZ,285,
25624,E01006527,Liverpool 053A,Lower Super Output Areas and Data Zones,LSOADZ,267,
25625,E01006528,Liverpool 052C,Lower Super Output Areas and Data Zones,LSOADZ,180,
25626,E01006529,Liverpool 048D,Lower Super Output Areas and Data Zones,LSOADZ,168,
25627,E01006530,Liverpool 055A,Lower Super Output Areas and Data Zones,LSOADZ,270,
25628,E01006531,Liverpool 055B,Lower Super Output Areas and Data Zones,LSOADZ,373,
25629,E01006532,Liverpool 047A,Lower Super Output Areas and Data Zones,LSOADZ,186,
25630,E01006533,Liverpool 055C,Lower Super Output Areas and Data Zones,LSOADZ,322,
25631,E01006534,Liverpool 054A,Lower Super Output Areas and Data Zones,LSOADZ,374,
25632,E01006535,Liverpool 054B,Lower Super Output Areas and Data Zones,LSOADZ,442,
25633,E01006536,Liverpool 054C,Lower Super Output Areas and Data Zones,LSOADZ,533,
25634,E01006537,Liverpool 055D,Lower Super Output Areas and Data Zones,LSOADZ,398,
25635,E01006538,Liverpool 055E,Lower Super Output Areas and Data Zones,LSOADZ,267,
25636,E01006539,Liverpool 047B,Lower Super Output Areas and Data Zones,LSOADZ,195,
25637,E01006540,Liverpool 024A,Lower Super Output Areas and Data Zones,LSOADZ,483,
25638,E01006541,Liverpool 015A,Lower Super Output Areas and Data Zones,LSOADZ,505,
25639,E01006542,Liverpool 018A,Lower Super Output Areas and Data Zones,LSOADZ,425,
25640,E01006543,Liverpool 015B,Lower Super Output Areas and Data Zones,LSOADZ,311,
25641,E01006544,Liverpool 015C,Lower Super Output Areas and Data Zones,LSOADZ,515,
25642,E01006545,Liverpool 019A,Lower Super Output Areas and Data Zones,LSOADZ,353,
25643,E01006546,Liverpool 019B,Lower Super Output Areas and Data Zones,LSOADZ,339,
25644,E01006547,Liverpool 019C,Lower Super Output Areas and Data Zones,LSOADZ,457,
25645,E01006548,Liverpool 019D,Lower Super Output Areas and Data Zones,LSOADZ,472,
25646,E01006549,Liverpool 043B,Lower Super Output Areas and Data Zones,LSOADZ,269,
25647,E01006550,Liverpool 038A,Lower Super Output Areas and Data Zones,LSOADZ,98,
25648,E01006551,Liverpool 048E,Lower Super Output Areas and Data Zones,LSOADZ,438,
25649,E01006552,Liverpool 039A,Lower Super Output Areas and Data Zones,LSOADZ,385,
