CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25583,E01006483,Knowsley 011C,Lower Super Output Areas and Data Zones,LSOADZ,1341,
25584,E01006484,Knowsley 011D,Lower Super Output Areas and Data Zones,LSOADZ,1376,
25585,E01006485,Knowsley 014B,Lower Super Output Areas and Data Zones,LSOADZ,1544,
25586,E01006486,Knowsley 014C,Lower Super Output Areas and Data Zones,LSOADZ,1172,
25587,E01006487,Knowsley 014D,Lower Super Output Areas and Data Zones,LSOADZ,1529,
25588,E01006488,Knowsley 014E,Lower Super Output Areas and Data Zones,LSOADZ,1753,
25589,E01006489,Knowsley 014F,Lower Super Output Areas and Data Zones,LSOADZ,1434,
25590,E01006490,Knowsley 002E,Lower Super Output Areas and Data Zones,LSOADZ,2757,
25591,E01006491,Knowsley 002F,Lower Super Output Areas and Data Zones,LSOADZ,1970,
25592,E01006492,Knowsley 001B,Lower Super Output Areas and Data Zones,LSOADZ,1358,
25593,E01006493,Knowsley 001C,Lower Super Output Areas and Data Zones,LSOADZ,1115,
25594,E01006494,Knowsley 001D,Lower Super Output Areas and Data Zones,LSOADZ,1429,
25595,E01006495,Knowsley 001E,Lower Super Output Areas and Data Zones,LSOADZ,1872,
25596,E01006496,Knowsley 009C,Lower Super Output Areas and Data Zones,LSOADZ,1377,
25597,E01006497,Knowsley 013A,Lower Super Output Areas and Data Zones,LSOADZ,1073,
25598,E01006498,Knowsley 009D,Lower Super Output Areas and Data Zones,LSOADZ,1574,
25599,E01006499,Knowsley 009E,Lower Super Output Areas and Data Zones,LSOADZ,1591,
25600,E01006500,Knowsley 013B,Lower Super Output Areas and Data Zones,LSOADZ,1109,
25601,E01006501,Knowsley 013C,Lower Super Output Areas and Data Zones,LSOADZ,1431,
25602,E01006502,Knowsley 017C,Lower Super Output Areas and Data Zones,LSOADZ,1739,
25603,E01006503,Knowsley 017D,Lower Super Output Areas and Data Zones,LSOADZ,1243,
25604,E01006504,Knowsley 013D,Lower Super Output Areas and Data Zones,LSOADZ,1376,
25605,E01006505,Knowsley 013E,Lower Super Output Areas and Data Zones,LSOADZ,1750,
25606,E01006506,Knowsley 004B,Lower Super Output Areas and Data Zones,LSOADZ,1351,
25607,E01006507,Knowsley 004C,Lower Super Output Areas and Data Zones,LSOADZ,1428,
25608,E01006508,Knowsley 004D,Lower Super Output Areas and Data Zones,LSOADZ,1394,
25609,E01006509,Knowsley 004E,Lower Super Output Areas and Data Zones,LSOADZ,1640,
25610,E01006510,Knowsley 004F,Lower Super Output Areas and Data Zones,LSOADZ,1199,
25611,E01006512,Liverpool 031A,Lower Super Output Areas and Data Zones,LSOADZ,1880,
25612,E01006513,Liverpool 060A,Lower Super Output Areas and Data Zones,LSOADZ,2941,
25613,E01006514,Liverpool 037A,Lower Super Output Areas and Data Zones,LSOADZ,2108,
25614,E01006515,Liverpool 037B,Lower Super Output Areas and Data Zones,LSOADZ,1208,
